#.t	.in_6
#d	W/m2
30.625	61.11111
30.6666667	2.77778
30.7083333	0.0
30.75	0.0
30.7916667	0.0
30.8333333	0.0
30.875	0.0
30.9166667	0.0
30.9583333	0.0
31.0	0.0
31.0416667	0.0
31.0833333	0.0
31.125	0.0
31.1666667	0.0
31.2083333	0.0
31.25	0.0
31.2916667	11.11111
31.3333333	94.44444
31.375	222.22222
31.4166667	311.11111
31.4583333	358.33333
31.5	355.55556
31.5416667	300.0
31.5833333	197.22222
31.625	77.77778
31.6666667	5.55556
31.7083333	0.0
31.75	0.0
31.7916667	0.0
31.8333333	0.0
31.875	0.0
31.9166667	0.0
31.9583333	0.0
32.0	0.0
32.0416667	0.0
32.0833333	0.0
32.125	0.0
32.1666667	0.0
32.2083333	0.0
32.25	0.0
32.2916667	13.88889
32.3333333	108.33333
32.375	238.88889
32.4166667	327.77778
32.4583333	372.22222
32.5	361.11111
32.5416667	305.55556
32.5833333	200.0
32.625	80.55556
32.6666667	8.33333
32.7083333	0.0
32.75	0.0
32.7916667	0.0
32.8333333	0.0
32.875	0.0
32.9166667	0.0
32.9583333	0.0
33.0	0.0
33.0416667	0.0
33.0833333	0.0
33.125	0.0
33.1666667	0.0
33.2083333	0.0
33.25	0.0
33.2916667	22.22222
33.3333333	144.44444
33.375	144.44444
33.4166667	172.22222
33.4583333	177.77778
33.5	100.0
33.5416667	41.66667
33.5833333	66.66667
33.625	27.77778
33.6666667	2.77778
33.7083333	0.0
33.75	0.0
33.7916667	0.0
33.8333333	0.0
33.875	0.0
33.9166667	0.0
33.9583333	0.0
34.0	0.0
34.0416667	0.0
34.0833333	0.0
34.125	0.0
34.1666667	0.0
34.2083333	0.0
34.25	0.0
34.2916667	13.88889
34.3333333	102.77778
34.375	247.22222
34.4166667	355.55556
34.4583333	411.11111
34.5	386.11111
34.5416667	330.55556
34.5833333	211.11111
34.625	88.88889
34.6666667	5.55556
34.7083333	0.0
34.75	0.0
34.7916667	0.0
34.8333333	0.0
34.875	0.0
34.9166667	0.0
34.9583333	0.0
35.0	0.0
35.0416667	0.0
35.0833333	0.0
35.125	0.0
35.1666667	0.0
35.2083333	0.0
35.25	0.0
35.2916667	13.88889
35.3333333	80.55556
35.375	263.88889
35.4166667	380.55556
35.4583333	361.11111
35.5	408.33333
35.5416667	308.33333
35.5833333	202.77778
35.625	97.22222
35.6666667	5.55556
35.7083333	0.0
35.75	0.0
35.7916667	0.0
35.8333333	0.0
35.875	0.0
35.9166667	0.0
35.9583333	0.0
36.0	0.0
36.0416667	0.0
36.0833333	0.0
36.125	0.0
36.1666667	0.0
36.2083333	0.0
36.25	0.0
36.2916667	25.0
36.3333333	122.22222
36.375	244.44444
36.4166667	333.33333
36.4583333	380.55556
36.5	375.0
36.5416667	319.44444
36.5833333	219.44444
36.625	91.66667
36.6666667	11.11111
36.7083333	0.0
36.75	0.0
36.7916667	0.0
36.8333333	0.0
36.875	0.0
36.9166667	0.0
36.9583333	0.0
37.0	0.0
37.0416667	0.0
37.0833333	0.0
37.125	0.0
37.1666667	0.0
37.2083333	0.0
37.25	0.0
37.2916667	30.55556
37.3333333	144.44444
37.375	261.11111
37.4166667	344.44444
37.4583333	388.88889
37.5	341.66667
37.5416667	258.33333
37.5833333	158.33333
37.625	83.33333
37.6666667	19.44444
37.7083333	0.0
37.75	0.0
37.7916667	0.0
37.8333333	0.0
37.875	0.0
37.9166667	0.0
37.9583333	0.0
38.0	0.0
38.0416667	0.0
38.0833333	0.0
38.125	0.0
38.1666667	0.0
38.2083333	0.0
38.25	0.0
38.2916667	13.88889
38.3333333	61.11111
38.375	116.66667
38.4166667	211.11111
38.4583333	291.66667
38.5	361.11111
38.5416667	305.55556
38.5833333	211.11111
38.625	91.66667
38.6666667	11.11111
38.7083333	0.0
38.75	0.0
38.7916667	0.0
38.8333333	0.0
38.875	0.0
38.9166667	0.0
38.9583333	0.0
39.0	0.0
39.0416667	0.0
39.0833333	0.0
