#.t	.River_1.DO	.River_1.NH4	.River_2.DO	.River_2.NH4	.River_3.DO	.River_3.NH4	.River_4.DO	.River_4.NH4	.River_5.DO	.River_5.NH4
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
122.33	9.0533531	0.04923426	9.4958168	0.048467668	9.6811844	0.047702525	9.7612874	0.04694427	9.7981844	0.046199755
122.34	9.0521624	0.049235569	9.4961383	0.048468953	9.68195	0.047704388	9.7622562	0.046946435	9.7992674	0.046201705
122.35	9.0506195	0.049237055	9.4962151	0.048470372	9.6825888	0.04770623	9.7631041	0.046948581	9.8002265	0.046203675
122.36	9.0492438	0.049238354	9.4960883	0.048471901	9.6831085	0.047708075	9.7638479	0.046950711	9.8010798	0.046205661
122.37	9.0480258	0.049239477	9.4958039	0.048473496	9.6835077	0.047709937	9.7644917	0.046952829	9.8018334	0.046207662
122.38	9.0489782	0.049238986	9.4954635	0.048475057	9.6837995	0.047711819	9.7650468	0.046954942	9.8025003	0.046209676
122.39	9.0520734	0.049236963	9.495477	0.048476122	9.6840083	0.047713685	9.7655155	0.046957052	9.8030839	0.046211705
122.4	9.0548425	0.0492352	9.4957851	0.048476772	9.6841868	0.047715474	9.7659172	0.046959156	9.8036013	0.046213745
122.41	9.0572753	0.049233702	9.4963542	0.048477037	9.6843619	0.047717128	9.766253	0.046961241	9.8040497	0.046215797
122.42	9.059815	0.04923214	9.4970925	0.048477039	9.6845531	0.047718642	9.7665434	0.046963298	9.8044464	0.046217858
122.43	9.0626826	0.049230365	9.4980563	0.048476708	9.6847804	0.047719963	9.7667907	0.046965303	9.8047872	0.046219923
122.44	9.0652305	0.049228841	9.4991938	0.048476113	9.6850601	0.047721079	9.7670095	0.046967244	9.8050835	0.046221988
122.45	9.0674925	0.049227538	9.5004449	0.048475327	9.6853952	0.047721988	9.7672099	0.046969102	9.8053411	0.046224044
122.46	9.0696237	0.04922633	9.5017597	0.048474396	9.6857796	0.047722679	9.7673885	0.046970857	9.805553	0.046226081
122.47	9.0722002	0.049224465	9.5027979	0.048473225	9.685843	0.047723103	9.7671867	0.046972444	9.8053598	0.046228042
122.48	9.0738225	0.049222802	9.503377	0.048471768	9.6854044	0.047723215	9.7664266	0.046973813	9.8045821	0.046229885
122.49	9.0747349	0.049221291	9.5035551	0.048470128	9.6845804	0.04772305	9.7652372	0.046974977	9.8033506	0.046231612
122.5	9.0749645	0.049219982	9.5033721	0.048468342	9.6834339	0.047722612	9.7636855	0.046975921	9.8017316	0.046233213
122.51	9.0747178	0.049218959	9.503056	0.048466494	9.6822098	0.04772196	9.7620251	0.046976683	9.7999799	0.046234713
122.52	9.0744835	0.049218158	9.5028628	0.04846469	9.6812109	0.047721105	9.7605603	0.046977249	9.7983926	0.046236115
122.53	9.0743367	0.04921747	9.5028072	0.048462915	9.6804082	0.047720109	9.7592732	0.046977661	9.7969592	0.046237433
122.54	9.0742827	0.049216902	9.5028613	0.048461227	9.6798113	0.047718974	9.7581854	0.046977884	9.7956987	0.046238638
122.55	9.0740493	0.049216576	9.5029813	0.048459623	9.6793549	0.047717749	9.7572417	0.046977958	9.7945631	0.046239743
122.56	9.0736727	0.049216477	9.5031335	0.048458154	9.6790477	0.047716439	9.7564561	0.046977867	9.7935671	0.046240726
122.57	9.0733889	0.049216408	9.5033213	0.048456807	9.6788694	0.047715066	9.7558165	0.046977612	9.7927016	0.046241576
122.58	9.0731623	0.049216362	9.5035097	0.048455583	9.6787754	0.047713667	9.7552862	0.046977228	9.7919353	0.046242311
122.59	9.0723659	0.049216787	9.5036896	0.048454489	9.6787579	0.047712253	9.7548595	0.046976722	9.7912656	0.046242924
122.6	9.0714328	0.049217357	9.5037794	0.048453628	9.6788107	0.04771085	9.7545438	0.046976081	9.7907025	0.04624339
122.61	9.0706265	0.049217864	9.5038111	0.048452934	9.6789024	0.04770948	9.7543082	0.046975345	9.7902199	0.046243734
122.62	9.0698979	0.049218325	9.5037785	0.04845239	9.6790082	0.047708162	9.7541334	0.046974519	9.7898021	0.04624395
122.63	9.0690412	0.049218797	9.5035926	0.048451962	9.6790219	0.047706893	9.7539139	0.046973611	9.7893477	0.046244035
122.64	9.0677188	0.049219219	9.5028994	0.048451609	9.678602	0.047705644	9.7533189	0.046972587	9.7885336	0.046243945
122.65	9.0658956	0.049219489	9.501536	0.048451292	9.677573	0.047704403	9.7521799	0.046971431	9.7871982	0.046243643
122.66	9.0637744	0.049219665	9.4997474	0.048450978	9.6761385	0.047703175	9.7506803	0.04697019	9.7855212	0.046243189
122.67	9.0613407	0.049219751	9.497511	0.048450668	9.6742733	0.047701965	9.7487987	0.046968861	9.7834848	0.046242569
122.68	9.058639	0.049219751	9.4948764	0.048450347	9.6720115	0.047700769	9.7465617	0.046967456	9.7811155	0.04624179
122.69	9.0557454	0.049219655	9.491897	0.048450005	9.6693941	0.047699588	9.7440049	0.046965985	9.7784495	0.046240862
122.7	9.0526867	0.049219475	9.4886153	0.048449635	9.6664556	0.047698417	9.7411569	0.046964457	9.7755143	0.046239794
122.71	9.0493787	0.049219305	9.4850705	0.048449214	9.6632128	0.047697258	9.7380295	0.04696288	9.7723241	0.046238584
122.72	9.0454937	0.049219414	9.4812676	0.048448802	9.6597215	0.047696103	9.7346724	0.046961263	9.7689231	0.046237258
122.73	9.0415498	0.049219417	9.477188	0.04844841	9.6559657	0.047694961	9.7310707	0.046959609	9.7652996	0.046235805
122.74	9.0376054	0.049219329	9.4729373	0.048448025	9.6520362	0.047693832	9.7273106	0.046957931	9.7615322	0.046234268
122.75	9.0336595	0.049219136	9.4685077	0.048447619	9.6479001	0.047692717	9.7233581	0.046956229	9.757591	0.046232627
122.76	9.0291978	0.049219515	9.4641928	0.048447276	9.6438771	0.047691655	9.7195247	0.046954549	9.7537815	0.046230935
122.77	9.0254079	0.04921982	9.4602496	0.048447088	9.6402537	0.047690695	9.716094	0.046952935	9.7503827	0.046229238
122.78	9.0221945	0.04922004	9.4566638	0.048447005	9.6369745	0.047689844	9.713013	0.046951394	9.7473422	0.046227546
122.79	9.0193952	0.049220197	9.4533574	0.048446991	9.6339546	0.047689083	9.7101957	0.046949916	9.7445727	0.046225863
122.8	9.0159889	0.049221295	9.4505506	0.048447147	9.6314501	0.047688472	9.7078972	0.046948555	9.7423293	0.046224229
122.81	9.013355	0.049222495	9.4484241	0.048447612	9.6297207	0.047688055	9.7063767	0.046947353	9.7408667	0.046222692
122.82	9.0116684	0.04922357	9.4469568	0.048448331	9.6286966	0.047687856	9.7055744	0.046946321	9.7401273	0.046221264
122.83	9.0107386	0.049224546	9.4460696	0.048449241	9.6282644	0.047687866	9.7053795	0.046945456	9.7400021	0.046219945
122.84	9.0093827	0.04922643	9.4458689	0.048450401	9.6285604	0.047688129	9.7059291	0.046944801	9.7406293	0.046218773
122.85	9.0087227	0.049228599	9.4039792	0.06007664	9.6291914	0.047867183	9.707499	0.04694644	9.7422898	0.046217815
122.86	9.0092549	0.049230595	8.9681319	0.18005064	9.6173126	0.05165494	9.709694	0.047042067	9.7449308	0.04621916
122.87	9.010788	0.049232451	7.7840661	0.50486613	9.5210261	0.078442399	9.7092744	0.048069985	9.7483449	0.046250357
122.88	9.0107865	0.049235913	6.9337604	0.73377048	9.2955968	0.14051592	9.697223	0.052449743	9.7518452	0.04645373
122.89	9.008872	0.04924071	6.4251926	0.86305635	8.9867723	0.22460791	9.6634094	0.062864059	9.7537311	0.04716209
122.9	9.0075783	0.049244875	6.1454563	0.92529237	8.657483	0.31243882	9.6025002	0.080744612	9.7522474	0.048848648
122.91	9.0068369	0.049248493	6.0649682	0.92957659	8.3573203	0.38993569	9.5145166	0.10596773	9.7454315	0.052076499
122.92	9.0059784	0.049252059	6.1086815	0.89659763	8.1121446	0.45017955	9.4059848	0.13654772	9.7315894	0.057326474
122.93	9.0039143	0.049256001	6.1742252	0.85453165	7.9186612	0.49420731	9.285422	0.1698409	9.7092124	0.064916679
122.94	9.0019212	0.04925935	6.2307668	0.81222255	7.7613007	0.526499	9.1603146	0.20363657	9.678195	0.074858931
122.95	9.000024	0.049262172	6.2769269	0.77040453	7.6308512	0.54977687	9.0356574	0.23647024	9.638803	0.087080941
122.96	8.9979108	0.049264806	6.3141058	0.72933347	7.5198617	0.56640355	8.9145336	0.26753362	9.5923702	0.10120667
122.97	8.9954266	0.049267714	6.343911	0.68925338	7.4255102	0.57743355	8.7994738	0.29623329	9.5401285	0.11696948
122.98	8.993715	0.049270232	6.368523	0.65032012	7.3443121	0.58416006	8.6914091	0.32247815	9.4838791	0.13389025
122.99	8.9926788	0.049272416	6.3891915	0.61276702	7.2749341	0.58712643	8.5912759	0.3460744	9.4247471	0.15162501
123	8.9920681	0.049274432	6.4073801	0.57670363	7.2156124	0.5870315	8.4990908	0.36713174	9.3640816	0.1697753
123.01	8.9910413	0.049276863	6.4243604	0.54217367	7.165206	0.58436653	8.4147621	0.38577537	9.3029805	0.18802385
123.02	8.9905283	0.049279013	6.4411324	0.50928742	7.1232322	0.5794259	8.3384751	0.40203961	9.2424202	0.20609514
123.03	8.9905022	0.049280896	6.4583824	0.47803859	7.0887668	0.5726049	8.2697689	0.41613947	9.1831903	0.22377545
123.04	8.990897	0.049282558	6.4765735	0.4484286	7.0612209	0.564183	8.2083473	0.42822563	9.1259083	0.24090351
123.05	8.9906159	0.049284781	6.4961626	0.42052806	7.0404754	0.55432024	8.1543376	0.43832543	9.0712354	0.25731025
123.06	8.9903845	0.049287004	6.5175282	0.394232	7.0259077	0.54326842	8.1072709	0.44661779	9.019544	0.27290957
123.07	8.9905837	0.04928896	6.5405932	0.36947533	7.0169179	0.5312425	8.0666417	0.4532743	8.9710415	0.28765944
123.08	8.991185	0.049290676	6.5654103	0.34631801	7.0134391	0.51835402	8.0325521	0.45830416	8.9261765	0.30145395
123.09	8.9916726	0.049292632	6.5920685	0.32459474	7.0148887	0.50481278	8.0043856	0.46192374	8.884977	0.31433111
123.1	8.9926163	0.049294718	6.6214108	0.3043022	7.021681	0.49072467	7.9825421	0.46416026	8.8480815	0.32622891
