#.t	.River_1.C(rBOD1)	.River_1.C(rBOD1p)	.River_1.C(rBOD2)	.River_1.C(rBOD2p)	.River_1.C(rBODs)	.River_1.DO	.River_2.C(rBOD1)	.River_2.C(rBOD1p)	.River_2.C(rBOD2)	.River_2.C(rBOD2p)	.River_2.C(rBODs)	.River_2.DO	.River_3.C(rBOD1)	.River_3.C(rBOD1p)	.River_3.C(rBOD2)	.River_3.C(rBOD2p)	.River_3.C(rBODs)	.River_3.DO	.River_4.C(rBOD1)	.River_4.C(rBOD1p)	.River_4.C(rBOD2)	.River_4.C(rBOD2p)	.River_4.C(rBODs)	.River_4.DO	.River_5.C(rBOD1)	.River_5.C(rBOD1p)	.River_5.C(rBOD2)	.River_5.C(rBOD2p)	.River_5.C(rBODs)	.River_5.DO	.Urban_InputEmulator.Outflow(rBOD1)	.Urban_InputEmulator.Outflow(rBOD1p)	.Urban_InputEmulator.Outflow(rBOD2)	.Urban_InputEmulator.Outflow(rBOD2p)
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d	g/d	g/d	g/d
121.32	2.9033566	0.0077762237	0.97565248	0.002542979	0.1806002	8.2858581	2.8183321	0.0056949491	0.95476948	0.00064027183	10.723738	7.668045	2.7476623	0.0037932075	0.94348721	0.00015714045	3.7796062	7.6441798	2.7058042	0.0022677546	0.96550718	3.6974762e-005	1.2652825	7.8028288	2.7285244	0.0012311729	1.0741181	8.2905495e-006	0.45460537	7.9767339	0	0	0	0
121.33	2.9031368	0.0077905174	0.97559615	0.0025436066	0.18066548	8.2886966	2.8175996	0.0057378102	0.9545313	0.00064113697	10.633746	7.6841208	2.7460603	0.0038584986	0.94257419	0.00015779495	3.7435188	7.6659187	2.7021433	0.0023338825	0.96213789	3.7309127e-005	1.2524563	7.825951	2.7201296	0.0012809888	1.0644175	8.4117457e-006	0.45011951	8.0008294	0	0	0	0
121.34	2.9029261	0.0078035374	0.97554215	0.0025439008	0.180746	8.2919205	2.8168992	0.0057780025	0.95430476	0.00064191903	10.545608	7.7000531	2.7445189	0.0039211461	0.94170831	0.00015841957	3.7082204	7.6874471	2.698632	0.0023988774	0.95893947	3.7625959e-005	1.2398289	7.8489134	2.7120668	0.0013311226	1.0551426	8.5295805e-006	0.44566056	8.024746	0	0	0	0
121.35	2.9027241	0.0078152005	0.97549038	0.0025438397	0.18084385	8.2966992	2.8162313	0.0058153085	0.95409022	0.00064259659	10.459572	7.7170505	2.7430429	0.0039808648	0.94089266	0.0001589895	3.6737907	7.70998	2.6952822	0.0024624981	0.95592485	3.7925757e-005	1.2274295	7.8729569	2.7043661	0.0013814863	1.0463317	8.6435536e-006	0.4412374	8.0497495	0	0	0	0
121.36	2.9025352	0.007825707	0.97544195	0.0025438336	0.18094929	8.3038779	2.8155953	0.0058497954	0.95388733	0.00064315948	10.375608	7.7361768	2.7416315	0.0040375642	0.94012589	0.00015950817	3.6402437	7.7345836	2.6920921	0.0025245438	0.9530908	3.8207447e-005	1.2152773	7.8991635	2.6970274	0.001431937	1.0379843	8.753291e-006	0.43685826	8.0769433	0	0	0	0
121.37	2.9023542	0.0078354911	0.97539554	0.0025438249	0.18105979	8.3124447	2.81498	0.0058824893	0.95369192	0.00064366364	10.292952	7.7566163	2.7402617	0.0040922674	0.93939028	0.00015999314	3.6072742	7.7604574	2.6890048	0.0025854774	0.95037268	3.8477093e-005	1.2032936	7.9266923	2.6899241	0.0014823732	1.0299379	8.860136e-006	0.43251156	8.1054728	0	0	0	0
121.38	2.9022129	0.0078449438	0.97535915	0.0025460775	0.18112178	8.3229614	2.8143939	0.0059126284	0.95350713	0.00064416516	10.212018	7.7790604	2.7389503	0.0041439963	0.93869911	0.00016043113	3.5751418	7.7883094	2.6860651	0.0026446563	0.94782258	3.8728351e-005	1.1915621	7.95628	2.6831646	0.0015326798	1.0223338	8.9625018e-006	0.4282161	8.1360829	0	0	0	0
121.39	2.902081	0.0078538884	0.97532518	0.0025490165	0.18115818	8.3356097	2.8138275	0.0059407161	0.95332998	0.00064490073	10.131881	7.8036962	2.7376783	0.0041930652	0.93804304	0.00016084877	3.5436592	7.8184455	2.6832415	0.0027021289	0.94541443	3.8963997e-005	1.1800408	7.9882698	2.676695	0.0015827275	1.0151142	9.0606261e-006	0.42396386	8.1691339	0	0	0	0
121.4	2.9019351	0.0078619302	0.9752877	0.0025512623	0.18120501	8.3503103	2.8132726	0.0059668514	0.95315815	0.00064571326	10.052644	7.8305023	2.7364402	0.0042396035	0.93741844	0.00016123937	3.5127608	7.8508685	2.6805227	0.0027578649	0.94313676	3.9188853e-005	1.1687201	8.0226683	2.6704942	0.0016324017	1.0082547	9.1547192e-006	0.41975637	8.2046334	0	0	0	0
121.41	2.9017786	0.0078693296	0.97524758	0.0025529945	0.18125939	8.3663707	2.812727	0.0059915949	0.95299046	0.00064654191	9.9739643	7.8588338	2.7352279	0.0042842623	0.93681704	0.00016164532	3.4822756	7.8849064	2.6778812	0.0028122391	0.94095514	3.9403943e-005	1.1575536	8.0587698	2.6644936	0.0016817258	1.0016634	9.2457553e-006	0.41558532	8.2418626	0	0	0	0
