#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
0.96	2.2248752	0.82662881	0.2584676	2.2021592	0.82143669	0.25750986	2.1748934	0.81517793	0.2563512	2.1439799	0.80804595	0.25502529	2.1103071	0.80023312	0.25356588
0.97	2.2283394	0.82741887	0.25861306	2.2060753	0.82233324	0.25767547	2.1795686	0.81625325	0.2565506	2.1492766	0.80927074	0.25525343	2.116061	0.80157154	0.25381642
0.98	2.2313338	0.82810137	0.25873866	2.2099103	0.82321057	0.25783742	2.184108	0.81729636	0.25674389	2.1544517	0.81046614	0.25547589	2.1217279	0.80288817	0.25406264
0.99	2.2339626	0.82870031	0.25884884	2.2135652	0.82404627	0.25799162	2.1885306	0.81831202	0.25693198	2.159538	0.81164019	0.25569426	2.1273299	0.80418869	0.25430569
1	2.2361215	0.82919195	0.25893925	2.2170227	0.8248363	0.25813731	2.1928178	0.81929577	0.25711404	2.1645051	0.81278564	0.25590713	2.1328379	0.80546601	0.25454418
1.01	2.243125	0.83078564	0.25923213	2.377143	0.860928	0.26471709	2.2057969	0.82226953	0.2576637	2.1697302	0.81398947	0.25613068	2.1382664	0.80672366	0.25477881
1.02	2.2490088	0.8321231	0.2594777	2.7229087	0.93588484	0.27793493	2.2612593	0.83490317	0.25998742	2.1793486	0.81620267	0.25654123	2.1439363	0.80803595	0.25502344
1.03	2.2539486	0.83324496	0.25968352	3.0657283	1.006746	0.28992011	2.3659	0.85842489	0.26426554	2.2004713	0.82105002	0.2574384	2.1510933	0.80969055	0.25533158
1.04	2.2580974	0.83418645	0.25985614	3.3321272	1.0597797	0.29859325	2.5050584	0.88910992	0.26975576	2.238125	0.82964787	0.25902304	2.1617782	0.81215692	0.2557903
1.05	2.2859809	0.84049711	0.26101055	3.5016007	1.0926896	0.30385506	2.6601935	0.92256855	0.27562903	2.2940787	0.84232368	0.26134374	2.1783094	0.81596363	0.2564969
1.06	2.3132074	0.84663158	0.26212849	3.5558415	1.1030971	0.30550088	2.8102687	0.95425206	0.28108814	2.366356	0.85852841	0.26428452	2.2024969	0.82151406	0.25752416
1.07	2.3360463	0.85175622	0.26305913	3.5018788	1.0927433	0.30386361	2.9358423	0.98027181	0.28549815	2.450434	0.87714357	0.26762676	2.2356479	0.82908377	0.25891931
1.08	2.3552242	0.85604493	0.26383572	3.3635969	1.0659321	0.29958298	3.0229458	0.99807714	0.2884798	2.5391034	0.89651682	0.27106576	2.2776634	0.83861683	0.26066693
1.09	2.3978939	0.86553939	0.26554766	3.198417	1.0333674	0.29430421	3.0678171	1.0071753	0.28999236	2.6247501	0.91499227	0.27430941	2.3272758	0.84978957	0.26270218
1.1	2.4454579	0.87604991	0.26743163	3.06137	1.0058703	0.28977572	3.0780347	1.00924	0.29033455	2.7011404	0.93128115	0.27714051	2.38239	0.86209728	0.2649282
1.11	2.4853496	0.88480529	0.26899187	2.9570611	0.98462823	0.2862305	3.0651491	1.006636	0.28990293	2.7645572	0.94467143	0.27944792	2.4403539	0.87492555	0.26723063
1.12	2.5186815	0.89207983	0.27028195	2.8785277	0.96844648	0.2835015	3.0384505	1.0012271	0.28900438	2.8136692	0.95496112	0.28120898	2.4984	0.8876556	0.26949767
1.13	2.5574053	0.90048728	0.27176626	2.8190749	0.95609098	0.28140195	3.0048048	0.99438638	0.28786436	2.8497792	0.96248575	0.28249067	2.5543054	0.89981608	0.27164804
1.14	2.5989217	0.90944662	0.27333974	2.7781557	0.94752751	0.27993778	2.9683411	0.9869392	0.28661826	2.8732004	0.96734617	0.28331554	2.6059973	0.91096788	0.27360604
1.15	2.6336896	0.91690886	0.27464411	2.7506885	0.94175313	0.27894655	2.9325188	0.97958985	0.28538357	2.8864183	0.97008276	0.28377902	2.6523214	0.92089205	0.27533797
1.16	2.6626175	0.92308916	0.27572008	2.7335162	0.93813201	0.27832328	2.8993171	0.97274758	0.28422948	2.8912388	0.97107963	0.28394768	2.692372	0.92941925	0.27681809
1.17	2.6911803	0.92916788	0.27677481	2.7235436	0.93602534	0.27796012	2.869434	0.96656564	0.28318324	2.8901047	0.97084518	0.28390802	2.7264345	0.93663635	0.2780655
1.18	2.7244162	0.93620918	0.27799173	2.7211922	0.93552814	0.27787433	2.8440476	0.96129366	0.28228796	2.8840974	0.96960261	0.28369776	2.7537845	0.94240501	0.2790586
1.19	2.7522642	0.94208498	0.27900361	2.7242249	0.93616937	0.27798496	2.8229797	0.95690553	0.28154082	2.875229	0.96776656	0.2833868	2.77538	0.94694526	0.27983802
1.2	2.7753868	0.94694666	0.27983826	2.7311055	0.93762316	0.27823562	2.8065499	0.95347483	0.28095541	2.8646557	0.96557471	0.28301517	2.791585	0.9503434	0.28042006
1.21	2.7976939	0.95162252	0.28063886	2.7404347	0.9395922	0.2785748	2.7943202	0.95091629	0.28051808	2.8534614	0.9632509	0.28262068	2.8032079	0.95277615	0.28083605
