#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
122.07	0.71095126	0.41170948	0.16919969	0.707983	0.41066312	0.16893125	0.70709002	0.41034801	0.16885035	0.7080519	0.41068744	0.16893749	0.7102967	0.41147889	0.16914056
122.08	0.71144242	0.41188247	0.16924404	0.70833616	0.41078771	0.16896323	0.70720669	0.41038919	0.16886092	0.70795098	0.41065183	0.16892835	0.71004091	0.41138875	0.16911744
122.09	0.71185297	0.41202702	0.16928109	0.70870644	0.41091831	0.16899674	0.70735238	0.4104406	0.16887413	0.70787513	0.41062507	0.16892148	0.70980349	0.41130508	0.16909598
122.1	0.71217759	0.4121413	0.16931038	0.70907573	0.41104853	0.16903016	0.70752188	0.41050042	0.16888948	0.70782498	0.41060738	0.16891694	0.70958513	0.41122812	0.16907623
122.11	0.71246969	0.41224411	0.16933673	0.70943683	0.41117584	0.16906282	0.70771469	0.41056846	0.16890695	0.70780242	0.41059942	0.1689149	0.70938849	0.4111588	0.16905845
122.12	0.71272591	0.41233428	0.16935984	0.70978301	0.41129786	0.16909412	0.70792542	0.41064281	0.16892604	0.70780544	0.41060048	0.16891517	0.70921311	0.41109697	0.16904259
122.13	0.71302808	0.4124406	0.16938708	0.71013038	0.41142028	0.16912553	0.70815261	0.41072296	0.16894661	0.70783239	0.41060999	0.16891761	0.709059	0.41104263	0.16902865
122.14	0.71340834	0.41257438	0.16942135	0.71047498	0.41154171	0.16915667	0.70839032	0.41080681	0.16896813	0.70787843	0.41062623	0.16892178	0.70892261	0.41099454	0.16901631
122.15	0.71377334	0.41270276	0.16945423	0.71082658	0.41166557	0.16918843	0.70864221	0.41089566	0.16899093	0.7079502	0.41065156	0.16892828	0.70881157	0.41095538	0.16900626
122.16	0.71409272	0.41281508	0.169483	0.71117223	0.41178731	0.16921964	0.7089048	0.41098826	0.16901469	0.70804477	0.41068492	0.16893684	0.70872421	0.41092457	0.16899835
